Nome do Programa;Código do Programa;Nome da IES;Sigla da IES;UF;ME;DO;MP;DP
EXTENSÃO RURAL;25020013011P0;UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;PE;-;-;3;-
FAMÍLIA NA SOCIEDADE CONTEMPORÃNEA;28003012004P7;UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;BA;5;5;-;-
FARMÁCIA;28001010067P0;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
FARMACOLOGIA;21001014013P4;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
FARMACOLOGIA;22001018052P2;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;-;-;5;-
FARMACOLOGIA;22001018007P7;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;6;6;-;-
FILOSOFIA;22004017004P7;UNIVERSIDADE ESTADUAL VALE DO ACARAÚ;UVA-CE;CE;A;-;-;-
FILOSOFIA;20001010056P2;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;A;-;-;-
FILOSOFIA;26001012172P9;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;A;-;-;-
FILOSOFIA;24001015005P0;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;3;-;-;-
FILOSOFIA;25002015010P2;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;PE;A;-;-;-
FILOSOFIA;22001018037P3;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;4;4;-;-
FILOSOFIA;25001019094P5;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
FILOSOFIA;22003010076P1;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;A;-;-;-
FILOSOFIA;23001011030P1;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;4;4;-;-
FILOSOFIA;28001010042P7;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;5;5;-;-
FILOSOFIA;21001014015P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
Filosofia;27001016039P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;4;4;-;-
FÍSICA;27001016008P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;4;4;-;-
FÍSICA;23002018003P0;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;RN;4;4;-;-
FÍSICA;21001014016P3;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
FÍSICA;23001011010P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;5;5;-;-
FÍSICA;24001015002P0;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;5;5;-;-
FÍSICA;22001018002P5;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;7;7;-;-
FÍSICA;28001010002P5;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;3;3;-;-
FÍSICA;24009016017P9;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;3;-;-;-
FÍSICA;25001019002P3;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;7;7;-;-
FÍSICA;20001010013P1;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;5;5;-;-
FÍSICA;28007018010P2;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;3;-;-;-
Física;26001012002P6;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;5;5;-;-
FÍSICA APLICADA;25003011024P0;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE;3;-;-;-
FISIOTERAPIA;23001011043P6;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;4;4;-;-
FISIOTERAPIA;24001015082P4;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;A;-;-;-
FISIOTERAPIA;25001019072P1;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
FISIOTERAPIA E FUNCIONALIDADE;22001018175P7;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;A;-;-;-
FITOPATOLOGIA;25003011002P6;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE;5;5;-;-
FITOTECNIA;23003014011P0;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA;RN;6;6;-;-
FONOAUDIOLOGIA;24001015081P8;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;3;-;-;-
FORMAÇÃO DE PROFESSORES;24004014013P1;UNIVERSIDADE ESTADUAL DA PARAÍBA;UEPB;PB;-;-;4;-
Formação de Professores da Educação Básica;28007018017P7;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;-;-;4;-
FORMAÇÃO DE PROFESSORES E PRÁTICAS INTERDISCIPLINARES;25004018070P8;UNIVERSIDADE DE PERNAMBUCO;UPE;PE;-;-;3;-
GASTRONOMIA;22001018179P2;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;A;-;-;-
GENÉTICA;25001019037P1;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;4;4;-;-
GENÉTICA, BIODIVERSIDADE E CONSERVAÇÃO;28006011009P8;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;BA;3;-;-;-
Genética e Biodiversidade;28001010084P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;3;-;-;-
GENÉTICA E BIOLOGIA MOLECULAR;28007018003P6;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;5;5;-;-
GEOCIÊNCIAS;25001019007P5;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;4;4;-;-
Geociências e Análise de Bacias - PGAB;27001016036P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;3;-;-;-
GEODINÂMICA E GEOFÍSICA;23001011018P1;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;5;5;-;-
GEOFÍSICA;28001010007P7;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
GEOGRAFIA;24001015042P2;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;4;-;-
GEOGRAFIA;23001011028P7;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;5;5;-;-
GEOGRAFIA;23002018074P5;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;RN;3;-;-;-
GEOGRAFIA;23001011180P3;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;A;-;-;-
GEOGRAFIA;27001016001P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;4;4;-;-
GEOGRAFIA;25001019016P4;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;5;5;-;-
GEOGRAFIA;28001010032P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
GEOGRAFIA;22001018044P0;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;6;6;-;-
GEOGRAFIA;22003010006P3;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;4;4;-;-
Geografia;21001014027P5;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;3;-;-;-
Geografia;22004017003P0;UNIVERSIDADE ESTADUAL VALE DO ACARAÚ;UVA-CE;CE;3;-;-;-
Geografia;26001012038P0;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
GEOGRAFIA ;28006011170P3;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;BA;3;-;-;-
GEOGRAFIA ;23001011078P4;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;3;-
GEOGRAFIA, AMBIENTE E SOCIEDADE;20001010047P3;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;A;-;-;-
GEOGRAFIA, NATUREZA E DINÂMICA DO ESPAÇO;20002017039P7;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;MA;3;-;-;-
GEOLOGIA;22001018027P8;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;3;3;-;-
GEOLOGIA;28001010005P4;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
GEOQUÍMICA: PETRÓLEO E MEIO AMBIENTE;28001010073P0;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
GERONTOLOGIA;25001019092P2;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
GERONTOLOGIA;24001015077P0;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;-;-;4;-
Gestão Ambiental;25009010001P1;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;PE;-;-;3;-
GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO;23001011080P9;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;3;-
Gestão da Qualidade em Serviços de Saúde;23001011072P6;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;3;-
GESTÃO DE ENSINO DA EDUCAÇÃO BÁSICA;20001010041P5;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;-;-;3;-
GESTÃO DE NEGÓCIOS TURÍSTICOS;22003010024P1;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;-;-;3;-
Gestão de Políticas Públicas e Segurança Social;28022017008P0;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;BA;-;-;3;-
Gestão de Processos Institucionais;23001011066P6;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;3;-
Gestão de Programas e Serviços de Saúde;20009011003P7;UNIVERSIDADE CEUMA;UNICEUMA;MA;-;-;3;-
GESTÃO DE RISCOS E DESASTRES NATURAIS;25001019096P8;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;-;-;4;-
GESTÃO DO DESENVOLVIMENTO LOCAL SUSTENTÁVEL;25004018010P5;UNIVERSIDADE DE PERNAMBUCO;UPE;PE;-;-;3;-
Gestão e Economia da Saúde;25001019087P9;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;-;-;5;5
GESTÃO E INOVAÇÃO EM SAÚDE;23001011175P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;4;-
GESTÃO E INOVAÇÃO TECNOLÓGICA EM SAÚDE;27001016179P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;-;-;A;-
GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC;28023013001P1;CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI-CIMATEC;BA;-;-;5;-
GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC;28023013065P0;CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI-CIMATEC;BA;-;4;-;-
Gestão e Tecnologias Aplicadas à Educação;28005015011P6;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;-;-;4;-
Gestão em Organizações Aprendentes;24001015059P2;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;-;-;3;-
GESTÃO EM SAÚDE;22003010071P0;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;-;-;3;-
GESTÃO EMPRESARIAL;25018019001P3;CENTRO UNIVERSITÁRIO FBV WYDEN;UNIFBV-WYDEN;PE;-;-;3;-
GESTÃO, INOVAÇÃO E CONSUMO;25001019173P2;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;A;-;-;-
GESTÃO PÚBLICA;21001014077P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;-;-;3;-
Gestão Pública;23001011057P7;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;4;-
GESTÃO PÚBLICA  PARA O DESENVOLVIMENTO DO NORDESTE;25001019055P0;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;-;-;3;-
GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL;24001015079P3;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;3;-;-;-
Gestão, trabalho, educação e saúde;23001011178P9;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;A;-
HEBIATRIA - DETERMINANTES DE SAÚDE NA ADOLESCENCIA;25004018008P0;UNIVERSIDADE DE PERNAMBUCO;UPE;PE;4;4;-;-
HISTÓRIA;20001010024P3;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;4;4;-;-
HISTÓRIA;21001014009P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
HISTÓRIA;23001011038P2;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;4;4;-;-
HISTÓRIA;28001010022P6;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
HISTÓRIA;25001019015P8;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;4;4;-;-
HISTÓRIA;28002016009P2;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;UEFS;BA;3;-;-;-
HISTÓRIA;28005015070P2;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;3;-;-;-
HISTÓRIA;23001011179P5;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;A;-;-;-
HISTÓRIA;25002015009P4;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;PE;-;-;3;-
HISTÓRIA;22001018033P8;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;4;4;-;-
HISTÓRIA;25003011019P6;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE;4;4;-;-
HISTÓRIA;24009016018P5;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;3;-;-;-
HISTÓRIA;24001015045P1;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;3;-;-;-
História;27001016043P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;3;-;-;-
História;26001012034P5;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
História;20002017008P4;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;MA;-;-;4;4
HISTÓRIA: ATLÂNTICO E DIÁSPORA AFRICANA;28007018076P3;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;A;-;-;-
HISTÓRIA, CULTURAS E ESPACIALIDADES;22003010075P5;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;A;-;-;-
HISTÓRIA DA ÁFRICA, DA DIÁSPORA E DOS POVOS INDÍGENAS;28022017011P0;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;BA;-;-;3;-
HISTÓRIA REGIONAL E LOCAL;28005015007P9;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;3;-;-;-
Horticultura Tropical;24009016028P0;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;3;-;-;-
HOTELARIA E TURISMO;25001019171P0;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
IMUNOLOGIA;28001010025P5;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;5;5;-;-
INDÚSTRIAS CRIATIVAS;25002015008P8;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;PE;-;-;3;-
INFORMÁTICA;24001015047P4;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;-;-;-
Informática;26001012035P1;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
INFORMÁTICA APLICADA;22002014002P1;UNIVERSIDADE DE FORTALEZA;UNIFOR;CE;4;4;-;-
Informática Aplicada;25003011032P2;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE;3;-;-;-
INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS;23001011174P3;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;3;-
INOVAÇÃO TERAPÊUTICA;25001019073P8;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;5;5;-;-
INTERDISCIPLINAR EM CINEMA;27001016173P8;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;4;-;-;-
INTERDISCIPLINAR EM CULTURAS POPULARES ;27001016176P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;3;-;-;-
Interdisciplinar em Humanidades;22011013002P7;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;UNILAB;CE;3;-;-;-
INTERDISCIPLINAR EM SOCIEDADE E CULTURA;21002010071P0;FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ;FUESPI;PI;A;-;-;-
INTERVENÇÃO EDUCATIVA E SOCIAL;28005015072P5;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;-;-;3;-
JORNALISMO;24001015068P1;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;-;-;3;-
LETRAS;20001010052P7;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;A;-;-;-
LETRAS;28005015078P3;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;A;-;-;-
LETRAS;25001019032P0;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;4;4;-;-
LETRAS;20002017040P5;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;MA;3;-;-;-
LETRAS;22001018018P9;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;4;4;-;-
LETRAS;27001016021P3;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;4;4;-;-
LETRAS;23001011069P5;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;-;-;4;-
LETRAS;24001015051P1;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;4;-;-
LETRAS;22005013005P0;UNIVERSIDADE REGIONAL DO CARIRI;URCA;CE;A;-;-;-
LETRAS;21001014008P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
LETRAS;21018006001P7;UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO;UEMASUL;MA;-;-;A;-
LETRAS;21002010001P2;FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ;FUESPI;PI;4;-;-;-
LETRAS;23002018004P7;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;RN;4;4;-;-
Letras;20001010032P6;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;3;-;-;-
Letras: Cultura, Educação e Linguagens;28006011008P1;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;BA;4;-;-;-
LÍNGUA E CULTURA;28001010078P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
LINGUAGEM E ENSINO;24009016015P6;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;4;4;-;-
LINGUAGENS E REPRESENTAÇÕES;28007018009P4;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;4;4;-;-
LINGÜÍSTICA;22001018024P9;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;5;5;-;-
LINGÜÍSTICA;24001015048P0;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;6;6;-;-
Linguística;28006011011P2;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;BA;4;4;-;-
LINGÜÍSTICA APLICADA;22003010008P6;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE;5;5;-;-
LINGUÍSTICA E ENSINO;24001015066P9;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;-;-;4;-
Linguística e Literatura;26001012001P0;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;3;-;-
LITERATURA E CULTURA;28001010079P8;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;5;5;-;-
LITERATURA E INTERCULTURALIDADE;24004014004P2;UNIVERSIDADE ESTADUAL DA PARAÍBA;UEPB;PB;4;4;-;-
MANEJO DE SOLO E ÁGUA;23003014018P4;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA;RN;4;4;-;-
MATEMATICA;20001010019P0;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA;3;-;-;-
MATEMÁTICA;24001015035P6;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;4;-;-
MATEMÁTICA;26001012015P0;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
MATEMÁTICA;27001016177P3;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;SE;3;-;-;-
MATEMÁTICA;22001018003P1;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;7;7;-;-
MATEMÁTICA;25001019003P0;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;5;5;-;-
MATEMÁTICA;28001010003P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;-;-;-
MATEMÁTICA;21001014021P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;PI;4;4;-;-
MATEMÁTICA;24009016012P7;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;4;-;-;-
MATEMÁTICA - UFBA-UFAL;28001010081P2;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;-;4;-;-
MATEMÁTICA - UFPB-J.P. - UFCG;24001015058P6;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;-;5;-;-
MATEMÁTICA APLICADA E ESTATISTICA;23001011042P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;3;-;-;-
MATERIAIS;26001012028P5;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;-;4;-;-
MECATRÔNICA;28001010045P6;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
MEDICINA E SAÚDE;28001010012P0;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;5;5;-;-
MEDICINA E SAÚDE HUMANA;28008014002P6;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP;BA;3;3;-;-
MEDICINA TRANSLACIONAL;22001018178P6;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;A;A;-;-
MEDICINA TROPICAL;25001019024P7;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;5;5;-;-
MEDICINA VETERINÁRIA;25003011005P5;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE;5;5;-;-
MEIO AMBIENTE;21014000039P9;UNIVERSIDADE CEUMA;UNICEUMA;MA;3;-;-;-
Meio Ambiente , Águas e Saneamento;28001010076P9;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;3;-;-;-
MEMÓRIA:LINGUAGEM E SOCIEDADE;28006011005P2;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;BA;5;5;-;-
METEOROLOGIA;24009016001P5;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;PB;4;4;-;-
METEOROLOGIA;26001012005P5;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
MICROBIOLOGIA;28001010171P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;3;-;-;-
MICROBIOLOGIA MÉDICA;22001018042P7;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;5;5;-;-
MODELAGEM COMPUTACIONAL DE CONHECIMENTO;26001012017P3;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL;3;-;-;-
MODELAGEM COMPUTACIONAL E TECNOLOGIA INDUSTRIAL;28023013002P8;CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI-CIMATEC;BA;5;5;-;-
Modelagem Computacional em Ciência e Tecnologia;28007018016P0;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA;3;-;-;-
MODELAGEM E MÉTODOS QUANTITATIVOS;22001018087P0;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE;3;-;-;-
MODELAGEM E SIMULACÃO DE BIOSSISTEMAS;28005015077P7;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA;A;-;-;-
MODELAGEM EM CIÊNCIAS DA TERRA E DO AMBIENTE;28002016005P7;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;UEFS;BA;4;4;-;-
MODELAGEM MATEMÁTICA E COMPUTACIONAL;24001015071P2;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;3;-;-;-
MODELOS DE DECISÃO E SAÚDE;24001015055P7;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;5;5;-;-
MORFOTECNOLOGIA;25001019097P4;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
Museologia;28001010093P0;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;3;-;-;-
MÚSICA;25001019157P7;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;3;-;-;-
MÚSICA;28001010026P1;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;4;4;-;-
MÚSICA;24001015044P5;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;4;-;-
Música;28001010092P4;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA;-;-;4;-
Música;23001011067P2;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;3;-;-;-
Neurociência Cognitiva e Comportamento;24001015067P5;UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA;UFPB-JP;PB;4;4;-;-
NEUROCIÊNCIAS;23001011054P8;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN;4;4;-;-
Neuroengenharia;33280010001P2;INSTITUTO DE ENSINO E PESQUISA ALBERTO SANTOS DUMONT;IEPASD;RN;3;-;-;-
NEUROPSIQUIATRIA E CIÊNCIAS DO COMPORTAMENTO;25001019043P1;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE;4;4;-;-
